GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0461793020	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0471723104	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0474366025	NS_MS	13.17
Soil_0124377794_COG0553	DSM_0482151164	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0497409037	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0498361171	NS_MS	4.19
Soil_0124377794_COG0553	DSM_0002345081	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0002757509	NS_HV	3.61
Soil_0124377794_COG0553	DSM_0011675525	NS_HV	3.61
Soil_0124377794_COG0553	DSM_0012055879	NS_HV	0.66
Soil_0124377794_COG0553	DSM_0015935859	NS_HV	0
Soil_0124377794_COG0553	DSM_0034721477	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0038682253	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0041712689	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0043130211	NS_HV	7.21
Soil_0124377794_COG0553	DSM_0044634390	NS_HV	5.25
Soil_0124377794_COG0553	DSM_0047665028	NS_HV	5.25
Soil_0124377794_COG0553	DSM_0058465796	NS_HV	7.21
Soil_0124377794_COG0553	DSM_0063189444	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0076972599	NS_HV	6.56
Soil_0124377794_COG0553	DSM_0078278245	NS_HV	1.64
Soil_0124377794_COG0553	DSM_0078872280	NS_HV	6.23
Soil_0124377794_COG0553	DSM_0080096610	NS_HV	0.98
Soil_0124377794_COG0553	DSM_0080795722	NS_HV	1.97
Soil_0124377794_COG0553	DSM_0081592240	NS_HV	9.84
Soil_0124377794_COG0553	DSM_0085404892	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0096201096	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0096237057	NS_HV	4.59
Soil_0124377794_COG0553	DSM_0096599777	NS_HV	6.56
Soil_0124377794_COG0553	DSM_0099190093	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0099755948	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0104321459	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0104534731	NS_HV	6.89
Soil_0124377794_COG0553	DSM_0106972693	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0112492754	NS_HV	5.9
Soil_0124377794_COG0553	DSM_0117774432	NS_HV	10.16
Soil_0124377794_COG0553	DSM_0119590865	NS_HV	4.26
Soil_0124377794_COG0553	DSM_0119735831	NS_HV	8.2
Soil_0124377794_COG0553	DSM_0121012840	NS_HV	2.95
